Street Number, Street Name, Zipcode, Price
1164, E ASH AVE, 92831, $3405000
8965, RESEARCH DR, 92618, $4500000
4373, MISSISSIPPI ST, 92104, $6700000
1329, W 11TH ST, 95341, $3150000
1845, BUSINESS CENTER DR, 92408, $11500000
1295, N TUSTIN AVE, 92807, $2500000
12818, E PENN ST, 90602, $1495000
620, E 3RD AVE, 94401, $16500000
3951, ALABAMA ST, 92104, $1375000
1170, E FLORENCE AVE, 90001, $2300000
1676, E HIGHLAND AVE, 92404, $3099900
301, ASHLAND AVE, 90405, $5500000
3856, BEACON AVE, 94538, $995000
4369, TECHNOLOGY DR, 94538, $8600000
2765, OLD SONOMA RD, 94558, $8250000
1710, SESSUMS DR, 92374, $5400000
560, N VIRGIL AVE, 90004, $940000
3830, CYPRESS DR, 94954, $14000000
1683, ACTION AVE, 94559, $3100000
14810, PIONEER BLVD, 90650, $3700000
552, MIDDLEFIELD RD, 94301, $12000000
154, 1/2 EVERETT ST, 90026, $1300000
1803, E 4TH ST, 90802, $5700000
9944, MISSION BLVD, 92509, $1200000
32291, DUNLAP BLVD, 92399, $1100000
887, S BRISTOL ST, 92703, $8250000
2422, LAS POSITAS RD, 94551, $8350000
1644, A ST, 94509, $6200000
933, N MADISON ST, 95202, $749000
1972, N VENTURA RD, 93036, $3800000
484, 1/2 EVERETT ST, 90026, $1300000
535, HARVEST PARK DR, 94513, $899999
704, MAIN ST, 95695, $2625000
3974, COMMERCE DR, 95691, $4899000
236, 1/2 EVERETT ST, 90026, $1300000
9896, GARDEN GROVE BLVD, 92641, $4700000
0, NORDAHL RD, 92026, $799000
1639, A ST, 94509, $6200000
18451, VAN BUREN BLVD, 92508, $4055000
3693, W 5TH ST, 93030, $625000
1626, KIDDER AVE, 94533, $2725000
3934, 5TH AVE, 92103, $5795000
2003, SPRING ST, 94063, $3800000
264, KING ST, 94107, $4300000
1296, 1ST ST, 95020, $8350000
940, S VAIL AVE, 90640, $5300000
878, W RIALTO AVE, 92376, $2695000
1652, W 15TH ST, 90813, $3848000
1851, PINE AVE, 90806, $4000000
630, E SLAUSON AVE, 90011, $11308239
9775, RESEARCH DR, 92618, $2102660
6346, FAIR OAKS BLVD, 95608, $565000
1343, N WEST ST, 93274, $624900
850, MAGNOLIA AVE, 90813, $619000
2750, W YALE AVE, 92801, $10020000
594, S 6TH ST, 95112, $2275000
22939, RIDGE LINE RD, 91765, $799000
7973, S VAN NESS AVE, 90305, $1248100
4935, E CHAPMAN AVE, 92869, $2985000
125, 1/2 EVERETT ST, 90026, $1300000
6046, MONROE AVE, 94618, $5995000
861, S MOUNTAIN AVE, 91762, $8712000
8236, WHITE OAK AVE, 91325, $5500000
9923, ATLANTIC AVE, 90280, $15000000
2828, LYTTON ST, 92110, $1799999
521, N A ST, 93030, $925000
445, N M ST, 93274, $1299000
505, N MYERS ST, 92054, $13250000
871, ANCHORAGE PL, 91914, $740000
2042, SINALOA RD, 93065, $2600000
606, W MAIN ST, 91801, $5880000
500, E EUCLID AVE, 90222, $49950000
14725, FOOTHILL BLVD, 92335, $795000
